LC Section,UCP600 Article(s),Articles text,ISBP745 Paragraph(s),Paragraphs text
Credit Type,"Art. 1, 2, 3",dummy1,Preliminary i-ii,para-dummy1
UCP Reference Statement,Art. 1,dummy2,Preliminary i-ii,para-dummy2
LC Number,Art. 14(i),dummy3,A19,para-dummy3
Date of Issue,"Art. 7(b), 14(i)",dummy4,A11-A16,para-dummy4
Issuing Bank Details,"Art. 2, 7",dummy5,A20,para-dummy5
Applicant Details,"Art. 2, 14(j)",dummy6,"A20, A21",para-dummy6
Beneficiary Details,"Art. 2, 18(a)(i), 14(j)",dummy7,"C2(a), A20, A21",para-dummy7
Amount,"Art. 18(a)(iii), 30",dummy8,"C6, C13-C14",para-dummy8
Expiry Date,"Art. 6(d)(i), 29",dummy9,"A14, A15",para-dummy9
Expiry Place,Art. 6(d)(ii),dummy10,A14(b)(ii),para-dummy10
Availability (Sight Draft),"Art. 6(b), 7(a)",dummy11,B1-B18,para-dummy11
Incoterm (CIF),"Art. 18, 28(f)(ii)",dummy12,"C8-C9, K12, K18",para-dummy12
Latest Shipment Date,"Art. 6, 29(c)",dummy13,A14,para-dummy13
Port of Loading,Art. 20(a)(iii),dummy14,E6(f-g),para-dummy14
Port of Discharge,Art. 20(a)(iii),dummy15,E8-E10,para-dummy15
Goods Description,"Art. 18(c), 14(e)",dummy16,"C3-C5, E22",para-dummy16
Commercial Invoice,"Art. 17, 18",dummy17,C1-C15,para-dummy17
Bill of Lading,"Art. 20, 27, 26(c)",dummy18,E1-E28,para-dummy18
Insurance Document,Art. 28,dummy19,K1-K23,para-dummy19
Certificate of Origin,Art. 14(f),dummy20,L1-L8,para-dummy20
Packing List,"Art. 14(f), 17",dummy21,M1-M6,para-dummy21
Presentation Period (21 days),Art. 14(c),dummy22,A18(b)(ii),para-dummy22
Partial Shipments,Art. 31,dummy23,E19(c),para-dummy23
Transshipment,Art. 20(c),dummy24,E17,para-dummy24
Banking Charges,Art. 37(c),dummy25,–,para-dummy25
Invoice LC Number Requirement,Art. 14(d),dummy26,"C3, A22",para-dummy26
Document Language (English),Art. 14(d),dummy27,A21(a-e),para-dummy27
Confirmation,Art. 8,dummy28,–,para-dummy28
Authorized Signature,"Art. 3, 7(b)",dummy29,A35-A38,para-dummy29
